"CODIGO";"DOTACAO";"GRUPO";"DESCRICAOGRUPO";"ITEM";"RECEITA";"DESCRICAOITEM";"USUARIO";"DHMODIFICACAO"
"260,000000";"212360,000000";"203";"Programa de Educação Tutorial - Orçamento";"333999";"";"Outros Serviços e Encargos - P.J.";"NUNO";"26/03/2009 10:54"
"261,000000";"27315,000000";"080";"Básica - Renda Industrial";"445130";"S";"Execução de Obras e Instalações";"NUNO";"26/03/2009 13:47"
"262,000000";"61599,000000";"080";"Básica - Renda Industrial";"332001";"S";"Auxílio Financeiro a Pesquisadores";"NUNO";"26/03/2009 13:49"
"263,000000";"99751,000000";"080";"Básica - Renda Industrial";"445110";"S";"Estudos e Projetos";"NUNO";"26/03/2009 13:45"
"264,000000";"189291,000000";"080";"Básica - Renda Industrial";"333919";"S";"Locação de Equipamentos Diversos";"NUNO";"26/03/2009 13:54"
"265,000000";"49106,000000";"857";"Projetos Especiais - Renda Industrial";"333612";"S";"Encargos Sociais e Obrigações Fiscais - P.F.";"NUNO";"19/05/2009 16:10"
"266,000000";"67090,000000";"857";"Projetos Especiais - Renda Industrial";"333616";"S";"Ajuda de Custo a Colaboradores Eventuais";"NUNO";"19/05/2009 16:14"
"267,000000";"70938,000000";"857";"Projetos Especiais - Renda Industrial";"333041";"S";"Material de Escritorio, Papeis em Geral e impressos";"NUNO";"24/02/2011 10:42"
"268,000000";"77495,000000";"857";"Projetos Especiais - Renda Industrial";"333345";"S";"Outras Despesas com Transporte e Locomoção";"NUNO";"19/05/2009 16:21"
"269,000000";"109190,000000";"159";"Programa de Expansão - Renda Industrial";"333999";"S";"Outros Serviços e Encargos - P.J.";"NUNO";"19/05/2009 16:27"
"270,000000";"236530,000000";"857";"Projetos Especiais - Orçamento";"332001";"";"Auxilio Financeiro a Pesquisadores";"NUNO";"03/04/2009 10:42"
"271,000000";"238362,000000";"174";"Acréscimos Orçamentários - Orçamento";"333980";"";"Conservação e Manutenção de Bens Móveis e Imóveis";"NUNO";"13/10/2009 16:25"
